#BONDS
#ATOM#1	ATOM#2	Kb(Kcal/mol/A**2)	BOND_LENGTH(A)
CST	OST	937.96	1.1600	
ON6B	CN7B	NN2B	CN3	0.9	1	0.0	
CN8	CN7B	NN2B	CN1T	0.2	3	180.0	
CN8	CN7B	NN2B	CN3	0.0	3	180.0	
CN7B	CN7B	NN2B	CN1T	0.2	3	180.0	
CN7B	CN7B	NN2B	CN3	0.0	3	180.0	
CN7C	CN7B	NN2B	CN1T	0.2	3	180.0	
CN7C	CN7B	NN2B	CN3	0.0	3	180.0	
HN7	CN7B	NN2B	CN1T	0.0	3	0.0	
HN7	CN7B	NN2B	CN3	0.195	3	0.0	
CN7B	NN2B	CN4	HN3	0.3	2	180.0	
CN7B	NN2B	CN4	NN4	11.0	2	180.0	
CN7B	NN2B	CN5	CN5G	11.0	2	180.0	
CN7B	NN2B	CN5	NN3G	11.0	2	180.0	
ON6	CN7B	NN2B	CN5	0.2	3	0.0	
ON6	CN7B	NN2B	CN4	1.4	1	0.0	
ON6B	CN7B	NN2B	CN5	0.2	3	0.0	
ON6B	CN7B	NN2B	CN4	1.4	1	0.0	
CN8	CN7B	NN2B	CN5	0.0	3	0.0	
CN8	CN7B	NN2B	CN4	0.0	3	180.0	
CN7B	CN7B	NN2B	CN5	0.0	3	0.0	
CN7B	CN7B	NN2B	CN4	0.0	3	180.0	
CN7C	CN7B	NN2B	CN5	0.0	3	0.0	
CN7C	CN7B	NN2B	CN4	0.0	3	180.0	
HN7	CN7B	NN2B	CN5	0.0	3	0.0	
HN7	CN7B	NN2B	CN4	0.195	3	0.0	
CN7	ON6	CN7B	NN2	0.0	3	0.0	
CN7	ON6	CN7B	NN2B	0.0	3	0.0	
CN7	ON6B	CN7B	NN2	0.0	3	0.0	
CN7	ON6B	CN7B	NN2B	0.0	3	0.0	
CN7	CN8	CN7B	NN2	0.0	3	0.0	
CN7	CN8	CN7B	NN2B	0.0	3	0.0	
HN8	CN8	CN7B	NN2	0.0	3	0.0	
HN8	CN8	CN7B	NN2B	0.0	3	0.0	
CN7	CN7B	CN7B	NN2	0.0	3	0.0	
CN8	CN7B	CN7B	NN2	0.0	3	0.0	
CN7	CN7B	CN7B	NN2B	0.0	3	0.0	
CN8	CN7B	CN7B	NN2B	0.0	3	0.0	
CN7	CN7C	CN7B	NN2	0.0	3	0.0	
CN7	CN7C	CN7B	NN2B	0.0	3	0.0	
HN7	CN7B	CN7B	NN2	0.0	3	0.0	
HN7	CN7B	CN7B	NN2B	0.0	3	0.0	
HN7	CN7C	CN7B	NN2	0.0	3	0.0	
HN7	CN7C	CN7B	NN2B	0.0	3	0.0	
CN7	CN8B	ON2	P	0.2	1	120.0	
CN7	CN8B	ON5	HN5	1.3300	1	0.00	
HN8	CN8B	ON5	HN5	0.0	3	0.0	
CN7	CN7	CN8B	ON2	0.20	4	180.0	
CN8	CN7	CN8B	ON2	0.2	3	180.0	
CN7	CN7	CN8B	ON5	0.20	4	180.0	
ON6	CN7	CN8B	ON2	3.4	1	180.0	
ON6B	CN7	CN8B	ON2	3.4	1	180.0	
ON6	CN7	CN8B	ON5	3.4	1	180.0	
ON6B	CN7	CN8B	ON5	3.4	1	180.0	
HN8	CN8B	CN7	CN7	0.195	3	0.0	
HN8	CN8B	CN7	CN8	0.195	1	0.0	
HN8	CN8B	CN7	ON6	0.195	1	0.0	
HN8	CN8B	CN7	ON6B	0.195	1	0.0	
HN7	CN7	CN8B	ON2	0.195	3	0.0	
HN7	CN7	CN8B	ON5	0.195	3	0.0	
HN8	CN8	CN8	ON6	0.195	1	0.0	
CN9	CN7	CN7	CN8B	0.5	4	180.0	
HN7	CN7	CN9	HN9	0.195	3	0.0	
CN7	CN7	CN9	HN9	0.195	3	0.0	
ON6	CN7	CN9	HN9	0.195	3	0.0	
HN7	CN7B	CN7	CN8	0.195	3	0.0	
HN7	CN7	CN7	CN9	0.195	3	0.0	
ON2	CN7	CN7	CN9	0.2	4	0.0	
CN8	CN7	CN7	CN9	0.5	4	180.0	
CN8	CN7	CN7	CN8B	0.5	4	180.0	
CN7B	CN7	CN7	CN8B	0.2	4	180.0	
CN7C	CN7	CN7	CN8B	0.5	4	180.0	
ON2	CN7	CN7	CN8B	0.2	4	0.0	
ON5	CN7	CN7	CN8B	0.2	4	0.0	
ON2	CN7	CN7	ON6	0.5	6	0.0	
ON2	CN7	CN7	ON6B	0.4	6	0.0	
ON2	CN7B	CN7B	ON6B	0.4	6	0.0	
ON5	CN7	CN7	ON6	0.5	6	0.0	
ON5	CN7	CN7	ON6B	0.4	6	0.0	
CN7B	ON6	CN7	CN8B	0.8	3	0.0	
CN7B	ON6B	CN7	CN8B	2.0	3	0.0	
CN7B	ON6B	CN7	CN8	2.0	3	0.0	
CN7B	ON6B	CN7	CN9	2.0	3	0.0	
ON2	CN7	CN8	CN7B	0.8	6	0.0	
ON2	CN7	CN7B	CN7B	0.6	6	0.0	
ON2	CN7	CN7C	CN7B	0.8	6	0.0	
ON5	CN7	CN8	CN7B	0.8	6	0.0	
ON5	CN7	CN7B	CN7B	0.6	6	0.0	
ON5	CN7	CN7C	CN7B	0.8	6	0.0	
ON2	CN7	CN8	HN8	0.195	3	0.0	
ON5	CN7	CN8	HN8	0.195	3	180.0	
ON2	CN7	CN7B	HN7	0.195	3	0.0	
ON5	CN7	CN7B	HN7	0.195	3	180.0	
ON2	CN7	CN7C	HN7	0.195	3	0.0	
ON5	CN7	CN7C	HN7	0.195	3	180.0	
HN7	CN7	CN7	ON2	0.195	3	0.0	
HN7	CN7	CN7	ON5	0.195	3	0.0	
CN7	CN7	ON2	P	0.6	5	0.0	
CN8	CN7	ON2	P	2.5	1	180.0	
CN7B	CN7	ON2	P	2.5	1	180.0	
CN7B	CN7B	ON2	P	2.5	1	180.0	
CN7	CN7B	ON2	P	2.5	1	180.0	
CN8	CN7B	ON2	P	2.5	1	180.0	
CN7C	CN7	ON2	P	2.5	1	180.0	
CN7	CN7	ON5	HN5	0.5	3	0.0	
CN8	CN7	ON5	HN5	0.5	3	0.0	
CN7B	CN7	ON5	HN5	0.8	3	0.0	
CN7C	CN7	ON5	HN5	0.8	3	0.0	
HN7	CN7	ON5	HN5	0.0	3	0.0	
HN7	CN7	CN8B	HN8	0.195	3	0.0	
HN7	CN7	CN7	CN8B	0.195	3	0.0	
CN8	CN7B	ON6	CN7	0.6	6	180.0	
CN8	CN7	CN7	ON6	0.0	3	0.0	
CN7B	CN7B	ON6B	CN7	0.0	6	0.0	
CN7B	CN7	CN7	ON6B	0.0	3	0.0	
CN7C	CN7B	ON6	CN7	0.6	6	180.0	
CN7C	CN7	CN7	ON6	0.0	3	0.0	
CN7	CN8	CN7B	ON6	0.6	6	0.0	
CN7	CN7B	CN7B	ON6B	0.4	6	0.0	
CN8	CN7B	CN7B	ON6B	0.4	6	0.0	
CN7	CN7C	CN7B	ON6	0.6	6	0.0	
CN7B	CN8	CN7	CN7	0.4	6	0.0	
CN7B	CN7B	CN7	CN7	0.0	6	0.0	
CN7B	CN7B	CN8	CN7	0.0	6	0.0	
CN7B	CN7C	CN7	CN7	0.4	6	0.0	
CN7	CN7	ON6	CN7B	0.6	6	180.0	
CN7	CN7	ON6B	CN7B	0.0	6	180.0	
HN7	CN7	CN7	CN8	0.0	3	0.0	
HN7	CN7	CN7	CN7C	0.0	3	0.0	
HN7	CN7	CN8	CN7B	0.195	3	0.0	
HN7	CN7B	CN8	CN7	0.195	3	0.0	
HN7	CN7	CN7	ON6	0.195	3	180.0	
HN8	CN8	CN7B	ON6	0.195	3	0.0	
HN7	CN7	CN7	HN7	0.195	3	0.0	
HN7	CN7B	CN8	HN8	0.195	3	0.0	
HN7	CN7	CN8	HN8	0.195	3	0.0	
HN8	CN8	CN7	CN7	0.195	3	0.0	
HN7	CN7	ON6	CN7B	0.195	3	0.0	
HN7	CN7B	ON6	CN7	0.000	3	0.0	
HN7	CN7	CN7	ON6B	0.195	3	180.0	
HN9	CN9	CN7	ON6B	0.195	3	180.0	
HN8	CN8	CN7B	ON6B	0.195	3	0.0	
HN7	CN7B	ON6B	CN7	0.000	3	0.0	
HN7	CN7	ON6B	CN7B	0.195	3	0.0	
HN7	CN7	CN7B	CN7B	0.195	3	0.0	
HN8	CN8	CN7B	CN7B	0.195	3	0.0	
HN7	CN7B	CN7B	CN7	0.195	3	0.0	
HN7	CN7B	CN7B	CN8	0.195	3	0.0	
HN7	CN7B	CN7B	ON6B	0.195	3	0.0	
HN7	CN7	CN7C	CN7B	0.195	3	0.0	
HN7	CN7B	CN7C	CN7	0.195	3	0.0	
HN7	CN7C	CN7B	ON6	0.195	3	0.0	
HN7	CN7B	CN7C	HN7	0.195	3	0.0	
HN7	CN7	CN7C	HN7	0.195	3	0.0	
HN7	CN7C	CN7	CN7	0.195	3	0.0	
NN2	CN7B	CN7B	ON5	0.000	3	0.0	
NN2B	CN7B	CN7B	ON5	0.000	3	0.0	
ON5	CN7B	CN7B	HN7	0.000	3	0.0	
HN7	CN7B	CN7B	HN7	0.000	3	0.0	
CN7	CN7	CN7B	ON5	0.000	3	0.0	
ON6B	CN7B	CN7B	ON5	0.000	3	0.0	
ON5	CN7B	CN7	ON2	0.000	3	0.0	
ON5	CN7	CN7B	ON2	0.000	3	0.0	
ON5	CN7B	CN7	ON5	0.000	3	0.0	
HN7	CN7B	ON5	HN5	0.000	3	0.0	
HN5	ON5	CN7B	CN7B	0.000	6	180.0	
HN5	ON5	CN7B	CN7	0.300	3	0.0	
ON6	CN7B	CN7C	ON5	0.000	3	0.0	
CN7B	CN7C	ON5	HN5	0.000	3	0.0	
CN7	CN7C	ON5	HN5	0.000	3	0.0	
HN7	CN7B	CN7C	ON5	0.000	3	0.0	
CN7	CN7	CN7C	ON5	0.000	3	0.0	
HN7	CN7C	ON5	HN5	0.000	3	0.0	
ON5	CN7C	CN7	HN7	0.000	3	0.0	
ON5	CN7C	CN7	ON2	0.000	3	0.0	
CC31A	CC30A	CC32A	HCA2A	0.20000	3	0.00	
CC32A	CC30A	CC32A	HCA2A	0.20000	3	0.00	
CC33A	CC30A	CC32A	HCA2A	0.20000	3	0.00	
CC31A	CC30A	CC33A	HCA3A	0.20000	3	0.00	
CC32A	CC30A	CC32A	HCA3A	0.20000	3	0.00	
CC33A	CC30A	CC32A	HCA3A	0.20000	3	0.00	
HCA1A	CC31A	CC31A	HCA1A	0.20000	3	0.00	
CC31A	CC31A	CC31A	HCA1A	0.20000	3	0.00	
CC32A	CC31A	CC31A	HCA1A	0.20000	3	0.00	
CC33A	CC31A	CC31A	HCA1A	0.20000	3	0.00	
HCA1A	CC31A	CC32A	HCA2A	0.20000	3	0.00	
HCA1A	CC31A	CC32A	CC31A	0.20000	3	0.00	
HCA1A	CC31A	CC32A	CC32A	0.20000	3	0.00	
HCA1A	CC31A	CC32A	CC33A	0.20000	3	0.00	
CC31A	CC31A	CC32A	HCA2A	0.20000	3	0.00	
CC32A	CC31A	CC32A	HCA2A	0.20000	3	0.00	
CC33A	CC31A	CC32A	HCA2A	0.20000	3	0.00	
HCA1A	CC31A	CC33A	HCA3A	0.20000	3	0.00	
CC31A	CC31A	CC33A	HCA3A	0.20000	3	0.00	
CC32A	CC31A	CC33A	HCA3A	0.20000	3	0.00	
CC33A	CC31A	CC33A	HCA3A	0.20000	3	0.00	
HCA2A	CC32A	CC32A	HCA2A	0.19000	3	0.0	
CC30A	CC32A	CC32A	HCA2A	0.19000	3	0.00	
CC31A	CC32A	CC32A	HCA2A	0.19000	3	0.00	
CC32A	CC32A	CC32A	HCA2A	0.19000	3	0.00	
CC33A	CC32A	CC32A	HCA2A	0.19000	3	0.00	
HCA2A	CC32A	CC33A	HCA3A	0.16000	3	0.0	
CC30A	CC32A	CC33A	HCA3A	0.16000	3	0.0	
CC31A	CC32A	CC33A	HCA3A	0.16000	3	0.0	
CC32A	CC32A	CC33A	HCA3A	0.16000	3	0.0	
CC33A	CC32A	CC33A	HCA3A	0.16000	3	0.0	
CC33A	CC32A	CC32A	CC33A	0.03179	6	180.0	
CC33A	CC32A	CC32A	CC32A	0.20391	5	0.0	
CC32A	CC32A	CC32A	CC32A	0.11251	5	0.0	
CC33A	CC325A	CC325A	CC33A	0.16000	3	0.0	
CC33A	CC325A	CC325A	CC325A	0.16000	3	0.0	
CC33A	CC325A	CC325A	HCA25A	0.16000	3	0.0	
HCA25A	CC325A	CC325A	HCA25A	0.16000	3	0.0	
CC325A	CC325A	CC325A	HCA25A	0.16000	3	0.0	
CC325A	CC325A	CC325A	CC325A	0.41000	3	180.0	
CC33A	CC325B	CC325B	CC33A	0.19000	3	0.0	
CC33A	CC325B	CC325B	CC325B	0.19000	3	0.0	
CC33A	CC325B	CC325B	HCA25A	0.19000	3	0.0	
HCA25A	CC325B	CC325B	HCA25A	0.19000	3	0.0	
CC325B	CC325B	CC325B	HCA25A	0.19000	3	0.0	
OC305A	CC325B	CC325B	HCA25A	0.19000	3	0.0	
HCA25A	CC325B	CC33A	HCA3A	0.16000	3	0.0	
CC325B	CC325B	CC33A	HCA3A	0.16000	3	0.0	
OC305A	CC325B	CC33A	HCA3A	0.16000	3	0.0	
CC325B	CC325B	CC325B	CC325B	0.41000	3	180.0	
HCA25A	CC325B	OC305A	CC325B	0.3000	3	0.0	
OC305A	CC325B	CC325B	CC325B	0.0000	3	0.0	
CC325B	CC325B	OC305A	CC325B	0.5000	3	0.0	
CC33A	CC325B	OC305A	CC325B	0.3000	3	0.0	
CC33A	CC326A	CC326A	CC33A	0.19000	3	0.0	
CC33A	CC326A	CC326A	CC326A	0.19000	3	0.0	
CC33A	CC326A	CC326A	HCA2A	0.19000	3	0.0	
HCA2A	CC326A	CC326A	HCA2A	0.19000	3	0.0	
HCA2A	CC326A	CC326A	CC326A	0.19000	3	0.0	
OC30A	CC326A	CC326A	HCA2A	0.19000	3	0.0	
HCA2A	CC326A	CC33A	HCA3A	0.16000	3	0.0	
CC326A	CC326A	CC33A	HCA3A	0.16000	3	0.0	
OC30A	CC326A	CC33A	HCA3A	0.16000	3	0.0	
CC326A	CC326A	CC326A	CC326A	0.49829	2	0.0	
OC30A	CC326A	CC326A	CC326A	-0.19225	1	0.0	
HCA3A	CC33A	CC33A	HCA3A	0.15250	3	0.00	
CC326A	OC30A	CC326A	CC326A	-0.52702	1	0.0	
CC326A	OC30A	CC326A	HCA2A	0.28400	3	0.0	
HCA2A	CC32A	CC32A	OC30A	0.19000	3	0.0	
OC30A	CC32A	CC33A	HCA3A	0.16000	3	0.0	
HCA2A	CC32A	OC30A	CC32A	0.28400	3	0.0	
HCA3A	CC33A	OC30A	CC32A	0.28400	3	0.0	
HCA2A	CC32A	OC30A	CC33A	0.28400	3	0.0	
HCA3A	CC33A	OC30A	CC33A	0.28400	3	0.0	
CC33A	CC32A	OC30A	CC32A	0.40	1	0.0	
CC33A	CC32A	OC30A	CC33A	0.40	1	0.0	
CC32A	CC32A	OC30A	CC33A	0.57	1	0.0	
CC32A	CC32A	OC30A	CC32A	0.57	1	0.0	
OC30A	CC32A	CC32A	OC30A	0.59	1	180.0	
OC30A	CC32A	CC32A	CC33A	0.16	1	180.0	
OC30A	CC32A	CC32A	CC32A	0.16	1	180.0	
#
#
#Lennard-Jones
#ATOM#1	Epsilon(Kcal/mol)	Rmin/2
C	-0.110000	2.000000	
CA	-0.070000	1.992400	
CC	-0.070000	2.000000	
CD	-0.070000	2.000000	
CE1	-0.068000	2.090000	
CE2	-0.064000	2.080000	
CM	-0.110000	2.100000	
CP1	-0.020000	2.275000	
CP2	-0.055000	2.175000	
CP3	-0.055000	2.175000	
CPA	-0.090000	1.800000	
CPB	-0.090000	1.800000	
CPH1	-0.050000	1.800000	
CPH2	-0.050000	1.800000	
CPM	-0.090000	1.800000	
CPT	-0.090000	1.800000	
CS	-0.110000	2.200000	
CST	-0.058000	1.563000	
CT1	-0.020000	2.275000	
CT2	-0.055000	2.175000	
CT3	-0.080000	2.060000	
CY	-0.070000	1.992400	
CT	-0.0200	2.275	
CT1x	-0.0200	2.275	
CT2x	-0.0560	2.010	
CT3x	-0.0780	2.040	
H	-0.046000	0.224500	
HA	-0.022000	1.320000	
HE1	-0.031000	1.250000	
HE2	-0.026000	1.260000	
HB	-0.022000	1.320000	
HC	-0.046000	0.224500	
HP	-0.030000	1.358200	
HR1	-0.046000	0.900000	
HR2	-0.046000	0.700000	
HR3	-0.007800	1.468000	
HS	-0.100000	0.450000	
HT	-0.046000	0.224500	
HA1	-0.022	1.3200	
HA2	-0.028	1.3400	
HA3	-0.024	1.3400	
N	-0.200000	1.850000	
NC2	-0.200000	1.850000	
NH1	-0.200000	1.850000	
NH2	-0.200000	1.850000	
NH3	-0.200000	1.850000	
NP	-0.200000	1.850000	
NPH	-0.200000	1.850000	
NR1	-0.200000	1.850000	
NR2	-0.200000	1.850000	
NR3	-0.200000	1.850000	
NY	-0.200000	1.850000	
O	-0.120000	1.700000	
OB	-0.120000	1.700000	
OC	-0.120000	1.700000	
OH1	-0.152100	1.770000	
OM	-0.120000	1.700000	
OS	-0.152100	1.770000	
OST	-0.165000	1.692000	
OT	-0.152100	1.768200	
S	-0.450000	2.000000	
SM	-0.380000	1.975000	
SP	-0.450000	2.20000	
SS	-0.470000	2.200000	
SOD	-0.0469	1.36375	
POT	-0.0870	1.76375	
CLA	-0.150	2.27	
CAL	-0.120	1.367	
MG	-0.0150	1.18500	
CES	-0.1900	2.100	
ZN	-0.250000	1.090000	
FE	0.000000	0.650000	
HE	-0.021270	1.4800	
NE	-0.086000	1.5300	
CLAL	-0.030000	1.908200	
DUM	-0.000000	0.000000	
CAP	-0.070000	1.992400	
FA	-0.12000	1.700000	
CN	-0.200000	1.750000	
NC	-0.600000	1.850000	
OCA	-0.120000	1.700000	
COA	-0.110000	2.000000	
CF1	-0.060000	1.900000	
CF2	-0.042000	2.050000	
CF3	-0.020000	2.300000	
HF1	-0.028000	1.3200	
HF2	-0.030000	1.3000	
F1	-0.135	1.63	
F2	-0.105	1.63	
F3	-0.097	1.60	
C3	-0.020000	2.275000	
CC1A	-0.0680	2.0900	
CC1B	-0.0680	2.0900	
CC2	-0.0640	2.0800	
NS1	-0.200000	1.850000	
NS2	-0.200000	1.850000	
NN	-0.20	1.85	
ON	-0.1521	1.77	
HN1	-0.0460	0.2245	
HN2	-0.0460	0.2245	
HN3	-0.046	1.1000	
HNP	-0.03	1.3582	
HN3B	-0.046	0.9000	
HN3C	-0.03	1.3582	
HN4	-0.0460	0.2245	
HN5	-0.0460	0.2245	
HN6	-0.0220	1.3200	
HN7	-0.0220	1.3200	
HN8	-0.0280	1.3400	
HN9	-0.0240	1.3400	
HNE1	-0.031	1.25	
HNE2	-0.026	1.26	
NN1	-0.20	1.85	
NN1C	-0.20	1.85	
NN2	-0.20	1.85	
NN2B	-0.20	1.85	
NN2C	-0.20	1.85	
NN2G	-0.20	1.85	
NN2U	-0.20	1.85	
NN3	-0.20	1.85	
NN3A	-0.20	1.85	
NN3G	-0.20	1.85	
NN3I	-0.20	1.85	
NN4	-0.20	1.85	
NN5	-0.20	1.85	
NN6	-0.20	1.85	
ON1	-0.1200	1.70	
ON1C	-0.1200	1.70	
ON2	-0.1521	1.77	
ON2B	-0.1521	1.77	
ON3	-0.1200	1.70	
ON4	-0.1521	1.77	
ON5	-0.1521	1.77	
ON6	-0.1521	1.77	
ON6B	-0.1521	1.77	
CN1	-0.10	1.9000	
CN1A	-0.07	2.0000	
CN1T	-0.10	1.9000	
CN2	-0.10	1.9000	
CN3	-0.09	1.9000	
CN3A	-0.18	1.8000	
CN3B	-0.18	1.8000	
CN3C	-0.18	1.8000	
CN3D	-0.09	1.9000	
CN3T	-0.09	1.9000	
CN4	-0.075	1.9000	
CN5	-0.075	1.9000	
CN5G	-0.075	1.9000	
CN7	-0.02	2.275	
CN7B	-0.02	2.275	
CN7C	-0.02	2.275	
CN7D	-0.02	2.275	
CN8	-0.0560	2.010	
CN8B	-0.0560	2.010	
CN9	-0.0780	2.040	
CNE1	-0.068	2.09	
CNE2	-0.064	2.08	
CNA	-0.07	1.9924	
CNA2	-0.07	1.90	
CN6	-0.02	2.275	
CN7E	-0.02	2.275	
FN1	-0.09	1.70	
FNA	-0.12	1.70	
P	-0.585	2.15	
P2	-0.585	2.15	
P3	-0.585	2.15	
HCA1A	-0.0450	1.3400	
HCA2A	-0.0350	1.3400	
HCA3A	-0.0240	1.3400	
CC30A	-0.0320	2.0000	
CC31A	-0.0320	2.0000	
CC32A	-0.0560	2.0100	
CC33A	-0.0780	2.0400	
CC326A	-0.0560	2.0100	
HCA25A	-0.0350	1.3000	
CC325A	-0.0600	2.0200	
CC325B	-0.0600	2.0200	
OC305A	-0.1000	1.6500	
OC30A	-0.1000	1.6500	
